DeclarationNumber,DeclarantIdentification,PointOfClearance,ErrorCode,ErrorDescription,ErrorPointer,RejectionTimestamp
DK220680942,DK5607762160,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-01 13:01:34
DK220631354,DK8033702319,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-01 13:15:29
DK220688729,DK7333678472,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-06-01 14:57:42
DK220639824,DK2825989011,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-01 15:00:42
DK220668186,DK5837082260,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-01 15:32:31
DK220678948,DK6461974809,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-01 15:38:02
DK220650437,DK7597996327,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-01 15:46:32
DK220693904,DK8168204967,CO000003,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ImporterIdentification,2022-06-01 18:31:09
DK220568470,DK4482238042,CO000003,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-06-01 23:22:30
DK220568470,DK4482238042,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-01 23:22:30
DK220622223,DK4311931853,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-02 05:20:19
DK220635065,DK8086172302,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:37:41
DK220674492,DK5931025271,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:39:40
DK220697513,DK7099469983,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:41:56
DK220642183,DK4332894265,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:42:23
DK220642183,DK4332894265,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-02 07:42:23
DK220678608,DK3376077463,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:43:13
DK220694892,DK8047877267,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:43:37
DK220615629,DK8531118333,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:44:54
DK220685705,DK2139027119,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:45:21
DK220692376,DK6491309593,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:47:04
DK220630813,DK2320763135,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:48:28
DK220633309,DK4239406957,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:52:57
DK220680773,DK1470939445,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:53:16
DK220687127,DK2227193073,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:54:11
DK220647037,DK2566942273,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:54:35
DK220652440,DK3316787198,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:54:58
DK220688309,DK8854238082,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:55:21
DK220625421,DK9894264595,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:56:09
DK220641893,DK4888749350,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:56:19
DK220693218,DK9786748825,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 07:59:13
DK220619619,DK8737025391,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:01:06
DK220648674,DK9526836552,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:01:06
DK220666032,DK4776436931,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:02:08
DK220628963,DK3783290795,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:02:23
DK220682100,DK4776436931,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:03:31
DK220641014,DK2274350418,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:03:43
DK220615060,DK5567816720,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:05:20
DK220653128,DK3694860228,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:09:44
DK220686483,DK9333798503,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:09:47
DK220621771,DK8429141456,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:11:19
DK220677586,DK2139027119,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:13:03
DK220613795,DK1251837136,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:13:53
DK220640786,DK3980491761,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:20:15
DK220667929,DK2960488639,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:20:21
DK220632117,DK2047905204,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:23:24
DK220691983,DK5419627962,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-02 08:24:33
DK220691741,DK1116402431,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-02 09:12:43
DK220679934,DK7625464411,CO000002,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-02 09:47:54
DK220646706,DK4696689457,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-02 11:06:14
DK220692481,DK1654477195,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-02 11:15:48
DK220615922,DK8370987661,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-02 11:57:30
DK220674001,DK7625464411,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-02 12:49:52
DK220676400,DK6859286614,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-02 13:48:52
DK220670768,DK2232285036,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-06-02 14:42:40
DK220697744,DK1041531046,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-02 14:43:45
DK220683154,DK6204041308,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-06-02 14:48:32
DK220682175,DK1817804383,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-02 18:23:16
DK220641815,DK9623534576,CO000003,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-06-03 07:20:43
DK220613267,DK2452066459,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-03 07:56:28
DK220622636,DK3746317213,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-06-03 08:18:45
DK220621288,DK6642201119,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-03 08:55:16
DK220639832,DK9904586976,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-03 08:58:15
DK220629787,DK8507497883,CO000002,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-06-03 09:29:03
DK220638158,DK9573276057,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-06-03 12:32:46
DK220660093,DK3361388464,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-03 13:43:48
DK220675561,DK3328710672,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-03 15:07:17
DK220650172,DK4482238042,CO000003,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-06-03 16:09:39
DK220696657,DK5646751885,CO000002,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-06-04 08:47:13
DK220693400,DK4070964768,CO000002,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-06-04 14:04:46
DK220657028,DK5693307665,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-04 19:55:25
DK220662071,DK8531118333,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-05 10:33:56
DK220695890,DK5693307665,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-05 14:54:48
DK220612339,DK8047877267,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:31:04
DK220695181,DK2094024844,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:33:45
DK220661162,DK5284391408,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:34:07
DK220686605,DK7519578899,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:37:34
DK220660091,DK7540301973,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:44:16
DK220684811,DK6928691380,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:45:23
DK220641257,DK2139027119,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:45:30
DK220636161,DK6493800024,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:52:16
DK220636098,DK1676168421,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:53:23
DK220699990,DK6288227800,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:53:36
DK220627324,DK4482141802,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:56:20
DK220681589,DK5646751885,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:56:55
DK220673443,DK5160575046,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 07:59:37
DK220646767,DK9421518487,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:00:06
DK220665959,DK3361388464,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:00:43
DK220629566,DK8588769565,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:01:37
DK220644420,DK4783282817,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:01:58
DK220668205,DK6242173772,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:06:03
DK220678179,DK9904586976,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:06:04
DK220632684,DK6231117883,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:12:10
DK220639391,DK3555656321,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:12:29
DK220684842,DK9894264595,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:12:32
DK220695329,DK8478529823,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:14:10
DK220651427,DK3316787198,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:14:33
DK220682966,DK4642197907,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:16:20
DK220661807,DK1965067727,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:18:55
DK220692080,DK7852415525,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:19:37
DK220614496,DK5837082260,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:23:48
DK220676281,DK1855256552,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:25:10
DK220657521,DK1977515194,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:25:50
DK220655084,DK2960488639,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:26:33
DK220662842,DK6474354351,CO000001,CWM20006,Service is temporarily unavailable.,,2022-06-06 08:30:37
DK220639436,DK5774080233,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-06 09:24:27
DK220662309,DK9410288290,CO000003,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-06-06 09:26:58
DK220697605,DK3792347639,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-06 12:19:46
DK220696446,DK6242173772,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-06 13:41:43
DK220683640,DK4882343658,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-06 15:10:52
DK220646357,DK7462972995,CO000001,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-06-06 15:24:26
DK220643550,DK9807209816,CO000002,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-06 15:35:32
DK220667432,DK2188332531,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-06 16:36:10
DK220646331,DK9410288290,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-06 20:15:17
DK220639843,DK7393195616,CO000001,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-06-06 22:10:02
DK220657342,DK7010379415,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-07 08:12:49
DK220662839,DK2566942273,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-07 08:35:23
DK220625665,DK3555656321,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-07 08:59:09
DK220617339,DK9894847574,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-07 09:21:48
DK220679998,DK5510938155,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-07 09:34:49
DK220695388,DK7483366056,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-07 09:35:59
DK220671542,DK9526836552,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-07 10:15:22
DK220636682,DK7483366056,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-07 11:58:54
DK220622300,DK7462972995,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-07 12:15:33
DK220698058,DK2139027119,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-07 12:18:54
DK220684821,DK3691864041,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ImporterIdentification,2022-06-07 13:33:36
DK220638720,DK9894847574,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-07 14:14:57
DK220683919,DK2566942273,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-07 14:19:17
DK220670438,DK1939042955,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-07 14:56:05
DK220674933,DK6237376063,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-07 19:23:37
DK220651880,DK8033702319,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-07 19:36:56
DK220610761,DK3987248494,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-06-08 08:08:30
DK220660831,DK5837082260,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-06-08 09:04:12
DK220670404,DK4590711152,CO000002,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-06-08 09:32:55
DK220626096,DK2699887270,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-08 10:12:49
DK220626096,DK2699887270,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-08 10:12:49
DK220631325,DK9573276057,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-08 10:17:14
DK220692912,DK8763140509,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-08 10:55:15
DK220657953,DK6928691380,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-08 11:59:52
DK220627562,DK6923206003,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-06-08 12:25:36
DK220612835,DK7462972995,CO000001,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-06-08 13:34:54
DK220616264,DK6461974809,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-08 13:43:21
DK220693453,DK6704841644,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-08 13:45:53
DK220671356,DK9904586976,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-08 13:48:35
DK220698155,DK9703905715,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-08 14:22:23
DK220614660,DK2627677155,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-08 14:44:00
DK220610054,DK5278201677,CO000002,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-06-08 14:45:55
DK220647754,DK5659161352,CO000001,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-06-08 15:01:03
DK220632831,DK3361388464,CO000002,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-08 15:32:57
DK220614448,DK4993808565,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-08 16:05:49
DK220681840,DK1939042955,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-08 20:11:49
DK220684686,DK1083651970,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-08 22:00:51
DK220619026,DK8612747444,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-06-09 08:14:14
DK220647910,DK2452066459,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-09 08:49:47
DK220614432,DK6237376063,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-06-09 11:34:38
DK220674188,DK5996775663,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-09 12:01:26
DK220619412,DK5160575046,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-09 13:00:31
DK220674810,DK8339176912,CO000002,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-09 13:25:04
DK220613151,DK3691864041,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-09 13:31:05
DK220675060,DK4163119785,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-06-09 13:50:00
DK220636741,DK6320115677,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-09 13:50:14
DK220681310,DK2227193073,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-09 15:57:46
DK220648584,DK1667779376,CO000003,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-06-10 03:40:02
DK220653558,DK3328710672,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-06-10 08:29:57
DK220640670,DK5078551333,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-06-10 08:44:00
DK220627949,DK7597996327,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-10 08:49:48
DK220644311,DK5607762160,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-10 08:56:53
DK220657653,DK5646751885,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-10 09:10:42
DK220616220,DK9285415473,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-10 11:02:26
DK220698844,DK1939042955,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-10 11:04:44
DK220687786,DK8982597239,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-10 11:23:45
DK220615708,DK2139027119,CO000002,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-06-10 11:47:25
DK220638874,DK6491309593,CO000002,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-06-10 11:52:42
DK220669997,DK3987248494,CO000002,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-10 12:16:53
DK220685579,DK4642197907,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-06-10 14:02:58
DK220679673,DK3660223333,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-10 14:18:13
DK220675376,DK6461974809,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-10 15:45:05
DK220697530,DK2125089309,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-10 16:22:56
DK220623151,DK2503068227,CO000003,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-06-10 18:52:00
DK220618983,DK7099469983,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-10 23:02:31
DK220610731,DK4696689457,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-11 09:54:01
DK220692553,DK2811967841,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-12 07:13:12
DK220658926,DK9922723063,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-12 09:37:23
DK220642782,DK8184602688,CO000003,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-06-12 12:27:12
DK220617984,DK5067116918,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-12 18:51:47
DK220669335,DK8033702319,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-13 06:23:18
DK220611325,DK4882343658,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-13 08:19:09
DK220611325,DK4882343658,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-06-13 08:19:09
DK220699726,DK5646751885,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-13 08:29:04
DK220677849,DK2139027119,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-13 08:35:30
DK220628018,DK6461974809,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-13 09:03:55
DK220628018,DK6461974809,CO000001,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-06-13 09:03:55
DK220663731,DK3328710672,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-13 09:56:32
DK220615283,DK2139027119,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-13 10:38:49
DK220658616,DK5774080233,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-13 11:30:01
DK220630049,DK3361388464,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-13 12:24:09
DK220614350,DK2699887270,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-13 13:31:58
DK220630698,DK3615507143,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-13 13:52:49
DK220679187,DK7517938612,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-13 14:57:17
DK220618779,DK1977515194,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-06-13 15:12:39
DK220667292,DK8737025391,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-13 15:36:42
DK220655912,DK2139027119,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-13 17:18:12
DK220691261,DK6464693977,CO000001,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-06-13 22:50:18
DK220644687,DK1958682846,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-06-14 05:11:07
DK220679471,DK6859286614,CO000003,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-06-14 06:23:52
DK220632986,DK2970753705,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-06-14 08:34:01
DK220633189,DK5078551333,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-14 08:37:14
DK220647012,DK2627677155,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-14 08:49:50
DK220665695,DK4642197907,CO000003,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-06-14 09:02:53
DK220635325,DK6461974809,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-06-14 09:06:04
DK220684260,DK3799264931,CO000002,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-06-14 09:16:20
DK220637725,DK7292076361,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-06-14 09:22:58
DK220671110,DK8763140509,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-06-14 10:14:23
DK220688174,DK2982979741,CO000003,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-06-14 11:55:45
DK220639192,DK7114223633,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-06-14 14:15:14
DK220628220,DK4993808565,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-14 14:42:36
DK220694798,DK8982597239,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-06-14 14:56:45
DK220682610,DK6204041308,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-14 19:39:43
DK220674435,DK8285786023,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-06-15 07:58:24
DK220670369,DK9285415473,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-06-15 08:00:59
